Timestamp          |GPU0_Temp|GPU0_TDP|GPU0_Thro|GPU1_Temp|GPU1_TDP|GPU1_Thro|GPU2_Temp|GPU2_TDP|GPU2_Thro|GPU3_Temp|GPU3_TDP|GPU3_Thro|GPU4_Temp|GPU4_TDP|GPU4_Thro|GPU5_Temp|GPU5_TDP|GPU5_Thro|GPU6_Temp|GPU6_TDP|GPU6_Thro|GPU7_Temp|GPU7_TDP|GPU7_Thro
2025-08-14 17:43:55|  27 C  | 44.41 W |  89 C  |  26 C  | 42.84 W |  89 C  |  25 C  | 43.22 W |  89 C  |  29 C  | 62.49 W |  89 C  |  27 C  | 63.75 W |  89 C  |  27 C  | 63.43 W |  89 C  |  28 C  | 65.83 W |  89 C  |  28 C  | 64.62 W |  89 C  
2025-08-14 17:43:57|  27 C  | 44.41 W |  89 C  |  26 C  | 42.44 W |  89 C  |  25 C  | 42.53 W |  89 C  |  28 C  | 42.15 W |  89 C  |  27 C  | 44.00 W |  89 C  |  26 C  | 42.60 W |  89 C  |  28 C  | 44.56 W |  89 C  |  27 C  | 43.39 W |  89 C  
2025-08-14 17:44:00|  27 C  | 44.41 W |  89 C  |  26 C  | 42.45 W |  89 C  |  25 C  | 42.53 W |  89 C  |  28 C  | 42.05 W |  89 C  |  27 C  | 44.01 W |  89 C  |  26 C  | 42.72 W |  89 C  |  27 C  | 44.77 W |  89 C  |  27 C  | 43.39 W |  89 C  
2025-08-14 17:44:02|  27 C  | 44.31 W |  89 C  |  26 C  | 42.44 W |  89 C  |  25 C  | 42.53 W |  89 C  |  28 C  | 41.95 W |  89 C  |  26 C  | 43.92 W |  89 C  |  26 C  | 42.62 W |  89 C  |  27 C  | 44.76 W |  89 C  |  27 C  | 43.29 W |  89 C  
2025-08-14 17:44:04|  27 C  | 44.31 W |  89 C  |  26 C  | 42.35 W |  89 C  |  25 C  | 42.53 W |  89 C  |  28 C  | 42.05 W |  89 C  |  26 C  | 43.81 W |  89 C  |  26 C  | 42.60 W |  89 C  |  27 C  | 44.77 W |  89 C  |  27 C  | 43.29 W |  89 C  
2025-08-14 17:44:06|  27 C  | 44.31 W |  89 C  |  26 C  | 42.45 W |  89 C  |  25 C  | 42.63 W |  89 C  |  28 C  | 42.14 W |  89 C  |  26 C  | 43.91 W |  89 C  |  26 C  | 42.60 W |  89 C  |  27 C  | 44.66 W |  89 C  |  27 C  | 43.39 W |  89 C  
2025-08-14 17:44:09|  27 C  | 44.31 W |  89 C  |  26 C  | 42.46 W |  89 C  |  25 C  | 42.63 W |  89 C  |  28 C  | 42.06 W |  89 C  |  26 C  | 43.91 W |  89 C  |  26 C  | 42.62 W |  89 C  |  27 C  | 44.27 W |  89 C  |  27 C  | 43.29 W |  89 C  
2025-08-14 17:44:11|  27 C  | 44.31 W |  89 C  |  26 C  | 42.55 W |  89 C  |  25 C  | 42.42 W |  89 C  |  28 C  | 41.95 W |  89 C  |  26 C  | 44.01 W |  89 C  |  26 C  | 42.62 W |  89 C  |  27 C  | 44.26 W |  89 C  |  27 C  | 43.18 W |  89 C  
2025-08-14 17:44:13|  27 C  | 44.21 W |  89 C  |  26 C  | 42.35 W |  89 C  |  25 C  | 42.53 W |  89 C  |  28 C  | 42.05 W |  89 C  |  26 C  | 43.92 W |  89 C  |  26 C  | 42.52 W |  89 C  |  27 C  | 44.77 W |  89 C  |  27 C  | 43.28 W |  89 C  
2025-08-14 17:44:16|  27 C  | 44.41 W |  89 C  |  26 C  | 42.45 W |  89 C  |  25 C  | 42.53 W |  89 C  |  28 C  | 42.05 W |  89 C  |  26 C  | 43.91 W |  89 C  |  26 C  | 42.52 W |  89 C  |  27 C  | 44.46 W |  89 C  |  27 C  | 43.29 W |  89 C  
