Timestamp          |GPU0_Temp|GPU0_TDP|GPU0_Thro|GPU1_Temp|GPU1_TDP|GPU1_Thro|GPU2_Temp|GPU2_TDP|GPU2_Thro|GPU3_Temp|GPU3_TDP|GPU3_Thro|GPU4_Temp|GPU4_TDP|GPU4_Thro|GPU5_Temp|GPU5_TDP|GPU5_Thro|GPU6_Temp|GPU6_TDP|GPU6_Thro|GPU7_Temp|GPU7_TDP|GPU7_Thro
2025-08-14 18:43:00|  29 C  | 44.81 W |  89 C  |  28 C  | 42.74 W |  89 C  |  26 C  | 62.95 W |  89 C  |  30 C  | 46.51 W |  89 C  |  28 C  | 48.08 W |  89 C  |  28 C  | 64.34 W |  89 C  |  28 C  | 66.04 W |  89 C  |  28 C  | 65.41 W |  89 C  
2025-08-14 18:43:05|  29 C  | 44.77 W |  89 C  |  27 C  | 42.60 W |  89 C  |  34 C  | 299.31 W |  89 C  |  29 C  | 42.31 W |  89 C  |  27 C  | 43.95 W |  89 C  |  34 C  | 306.61 W |  89 C  |  35 C  | 297.76 W |  89 C  |  27 C  | 43.32 W |  89 C  
2025-08-14 18:43:07|  29 C  | 65.67 W |  89 C  |  27 C  | 63.80 W |  89 C  |  36 C  | 320.77 W |  89 C  |  30 C  | 64.29 W |  89 C  |  28 C  | 65.05 W |  89 C  |  36 C  | 329.41 W |  89 C  |  37 C  | 272.56 W |  89 C  |  28 C  | 66.33 W |  89 C  
2025-08-14 18:43:11|  29 C  | 65.67 W |  89 C  |  28 C  | 63.01 W |  89 C  |  38 C  | 297.95 W |  89 C  |  30 C  | 64.51 W |  89 C  |  28 C  | 65.90 W |  89 C  |  38 C  | 266.44 W |  89 C  |  39 C  | 317.49 W |  89 C  |  28 C  | 66.00 W |  89 C  
2025-08-14 18:43:13|  37 C  | 308.19 W |  89 C  |  36 C  | 305.18 W |  89 C  |  39 C  | 307.02 W |  89 C  |  38 C  | 294.40 W |  89 C  |  35 C  | 294.78 W |  89 C  |  39 C  | 278.47 W |  89 C  |  40 C  | 289.24 W |  89 C  |  36 C  | 291.78 W |  89 C  
2025-08-14 18:43:15|  39 C  | 257.22 W |  89 C  |  37 C  | 286.01 W |  89 C  |  40 C  | 287.76 W |  89 C  |  40 C  | 306.53 W |  89 C  |  37 C  | 265.55 W |  89 C  |  41 C  | 273.47 W |  89 C  |  41 C  | 263.38 W |  89 C  |  38 C  | 293.34 W |  89 C  
2025-08-14 18:43:18|  40 C  | 311.43 W |  89 C  |  39 C  | 331.26 W |  89 C  |  41 C  | 307.03 W |  89 C  |  41 C  | 289.08 W |  89 C  |  38 C  | 311.91 W |  89 C  |  41 C  | 301.89 W |  89 C  |  42 C  | 317.45 W |  89 C  |  39 C  | 265.98 W |  89 C  
2025-08-14 18:43:20|  42 C  | 312.89 W |  89 C  |  39 C  | 271.29 W |  89 C  |  42 C  | 278.93 W |  89 C  |  42 C  | 287.41 W |  89 C  |  39 C  | 275.17 W |  89 C  |  42 C  | 272.01 W |  89 C  |  43 C  | 296.19 W |  89 C  |  40 C  | 283.85 W |  89 C  
2025-08-14 18:43:23|  43 C  | 271.56 W |  89 C  |  41 C  | 268.43 W |  89 C  |  42 C  | 304.96 W |  89 C  |  43 C  | 296.25 W |  89 C  |  40 C  | 294.77 W |  89 C  |  43 C  | 315.57 W |  89 C  |  44 C  | 293.55 W |  89 C  |  41 C  | 274.04 W |  89 C  
2025-08-14 18:43:25|  44 C  | 274.03 W |  89 C  |  41 C  | 318.76 W |  89 C  |  43 C  | 312.38 W |  89 C  |  44 C  | 306.93 W |  89 C  |  41 C  | 318.15 W |  89 C  |  44 C  | 276.31 W |  89 C  |  45 C  | 260.45 W |  89 C  |  42 C  | 315.95 W |  89 C  
2025-08-14 18:43:27|  45 C  | 288.82 W |  89 C  |  42 C  | 305.28 W |  89 C  |  44 C  | 305.94 W |  89 C  |  45 C  | 306.42 W |  89 C  |  42 C  | 271.92 W |  89 C  |  45 C  | 286.21 W |  89 C  |  46 C  | 319.79 W |  89 C  |  43 C  | 318.09 W |  89 C  
2025-08-14 18:43:30|  45 C  | 309.86 W |  89 C  |  44 C  | 313.01 W |  89 C  |  45 C  | 309.36 W |  89 C  |  46 C  | 324.43 W |  89 C  |  43 C  | 311.90 W |  89 C  |  46 C  | 279.84 W |  89 C  |  46 C  | 317.36 W |  89 C  |  44 C  | 315.07 W |  89 C  
2025-08-14 18:43:32|  46 C  | 269.01 W |  89 C  |  44 C  | 311.24 W |  89 C  |  46 C  | 297.24 W |  89 C  |  47 C  | 305.65 W |  89 C  |  43 C  | 312.20 W |  89 C  |  46 C  | 293.96 W |  89 C  |  47 C  | 300.12 W |  89 C  |  44 C  | 263.14 W |  89 C  
2025-08-14 18:43:35|  47 C  | 307.51 W |  89 C  |  45 C  | 292.86 W |  89 C  |  46 C  | 306.16 W |  89 C  |  48 C  | 307.80 W |  89 C  |  45 C  | 281.75 W |  89 C  |  47 C  | 283.58 W |  89 C  |  48 C  | 304.62 W |  89 C  |  45 C  | 286.01 W |  89 C  
2025-08-14 18:43:37|  48 C  | 318.95 W |  89 C  |  45 C  | 255.84 W |  89 C  |  47 C  | 307.12 W |  89 C  |  48 C  | 280.35 W |  89 C  |  45 C  | 283.21 W |  89 C  |  48 C  | 282.71 W |  89 C  |  48 C  | 304.53 W |  89 C  |  46 C  | 305.38 W |  89 C  
2025-08-14 18:43:39|  49 C  | 296.64 W |  89 C  |  46 C  | 308.70 W |  89 C  |  48 C  | 306.35 W |  89 C  |  49 C  | 292.33 W |  89 C  |  46 C  | 273.70 W |  89 C  |  48 C  | 313.04 W |  89 C  |  49 C  | 306.89 W |  89 C  |  46 C  | 285.70 W |  89 C  
