Timestamp          |GPU0_Temp|GPU0_TDP|GPU0_Thro|GPU1_Temp|GPU1_TDP|GPU1_Thro|GPU2_Temp|GPU2_TDP|GPU2_Thro|GPU3_Temp|GPU3_TDP|GPU3_Thro|GPU4_Temp|GPU4_TDP|GPU4_Thro|GPU5_Temp|GPU5_TDP|GPU5_Thro|GPU6_Temp|GPU6_TDP|GPU6_Thro|GPU7_Temp|GPU7_TDP|GPU7_Thro
2025-08-14 15:12:43|  28 C  | 44.43 W |  89 C  |  26 C  | 42.38 W |  89 C  |  25 C  | 42.56 W |  89 C  |  28 C  | 42.27 W |  89 C  |  27 C  | 44.25 W |  89 C  |  27 C  | 42.74 W |  89 C  |  27 C  | 44.40 W |  89 C  |  26 C  | 43.12 W |  89 C  
2025-08-14 15:12:45|  28 C  | 44.52 W |  89 C  |  26 C  | 42.38 W |  89 C  |  25 C  | 42.56 W |  89 C  |  28 C  | 42.28 W |  89 C  |  27 C  | 43.76 W |  89 C  |  27 C  | 42.74 W |  89 C  |  27 C  | 44.50 W |  89 C  |  26 C  | 43.23 W |  89 C  
2025-08-14 15:12:48|  28 C  | 65.63 W |  89 C  |  26 C  | 42.38 W |  89 C  |  25 C  | 42.65 W |  89 C  |  28 C  | 42.47 W |  89 C  |  27 C  | 43.92 W |  89 C  |  27 C  | 42.73 W |  89 C  |  27 C  | 64.74 W |  89 C  |  26 C  | 43.12 W |  89 C  
2025-08-14 15:12:51|  37 C  | 280.90 W |  89 C  |  35 C  | 304.50 W |  89 C  |  34 C  | 292.45 W |  89 C  |  38 C  | 284.30 W |  89 C  |  34 C  | 279.01 W |  89 C  |  35 C  | 300.22 W |  89 C  |  36 C  | 291.49 W |  89 C  |  36 C  | 300.79 W |  89 C  
2025-08-14 15:12:53|  39 C  | 280.51 W |  89 C  |  37 C  | 301.87 W |  89 C  |  36 C  | 292.74 W |  89 C  |  39 C  | 290.67 W |  89 C  |  36 C  | 280.96 W |  89 C  |  37 C  | 294.84 W |  89 C  |  38 C  | 292.48 W |  89 C  |  37 C  | 297.56 W |  89 C  
2025-08-14 15:12:56|  40 C  | 281.68 W |  89 C  |  38 C  | 296.58 W |  89 C  |  38 C  | 294.01 W |  89 C  |  41 C  | 292.04 W |  89 C  |  37 C  | 269.11 W |  89 C  |  38 C  | 302.95 W |  89 C  |  39 C  | 299.04 W |  89 C  |  38 C  | 300.77 W |  89 C  
2025-08-14 15:12:58|  41 C  | 282.87 W |  89 C  |  39 C  | 292.97 W |  89 C  |  38 C  | 281.40 W |  89 C  |  42 C  | 284.20 W |  89 C  |  38 C  | 270.29 W |  89 C  |  39 C  | 290.05 W |  89 C  |  41 C  | 300.42 W |  89 C  |  40 C  | 299.21 W |  89 C  
2025-08-14 15:13:00|  42 C  | 283.74 W |  89 C  |  40 C  | 301.27 W |  89 C  |  39 C  | 281.92 W |  89 C  |  43 C  | 291.46 W |  89 C  |  39 C  | 269.51 W |  89 C  |  40 C  | 289.26 W |  89 C  |  42 C  | 295.71 W |  89 C  |  41 C  | 300.30 W |  89 C  
2025-08-14 15:13:03|  43 C  | 282.67 W |  89 C  |  41 C  | 300.19 W |  89 C  |  40 C  | 285.20 W |  89 C  |  44 C  | 290.77 W |  89 C  |  40 C  | 271.08 W |  89 C  |  41 C  | 290.84 W |  89 C  |  43 C  | 301.49 W |  89 C  |  41 C  | 306.73 W |  89 C  
2025-08-14 15:13:05|  44 C  | 281.18 W |  89 C  |  42 C  | 290.14 W |  89 C  |  41 C  | 284.72 W |  89 C  |  45 C  | 287.64 W |  89 C  |  40 C  | 272.35 W |  89 C  |  42 C  | 291.80 W |  89 C  |  43 C  | 296.11 W |  89 C  |  42 C  | 301.94 W |  89 C  
