Timestamp          |GPU0_Temp|GPU0_TDP|GPU0_Thro|GPU1_Temp|GPU1_TDP|GPU1_Thro|GPU2_Temp|GPU2_TDP|GPU2_Thro|GPU3_Temp|GPU3_TDP|GPU3_Thro|GPU4_Temp|GPU4_TDP|GPU4_Thro|GPU5_Temp|GPU5_TDP|GPU5_Thro|GPU6_Temp|GPU6_TDP|GPU6_Thro|GPU7_Temp|GPU7_TDP|GPU7_Thro
2025-08-14 16:25:59|  36 C  | 47.21 W |  89 C  |  34 C  | 43.86 W |  89 C  |  33 C  | 44.23 W |  89 C  |  36 C  | 43.75 W |  89 C  |  35 C  | 46.81 W |  89 C  |  34 C  | 44.49 W |  89 C  |  34 C  | 46.27 W |  89 C  |  34 C  | 44.80 W |  89 C  
2025-08-14 16:26:01|  36 C  | 47.21 W |  89 C  |  34 C  | 43.76 W |  89 C  |  33 C  | 44.42 W |  89 C  |  36 C  | 43.85 W |  89 C  |  35 C  | 46.71 W |  89 C  |  34 C  | 44.61 W |  89 C  |  34 C  | 46.37 W |  89 C  |  34 C  | 44.80 W |  89 C  
2025-08-14 16:26:03|  36 C  | 47.21 W |  89 C  |  34 C  | 43.86 W |  89 C  |  33 C  | 44.32 W |  89 C  |  36 C  | 43.75 W |  89 C  |  35 C  | 46.71 W |  89 C  |  34 C  | 44.61 W |  89 C  |  34 C  | 46.27 W |  89 C  |  34 C  | 44.71 W |  89 C  
2025-08-14 16:26:06|  36 C  | 47.20 W |  89 C  |  34 C  | 43.96 W |  89 C  |  33 C  | 44.42 W |  89 C  |  36 C  | 44.06 W |  89 C  |  35 C  | 46.71 W |  89 C  |  34 C  | 44.50 W |  89 C  |  34 C  | 46.37 W |  89 C  |  34 C  | 44.80 W |  89 C  
2025-08-14 16:26:08|  36 C  | 47.21 W |  89 C  |  34 C  | 43.96 W |  89 C  |  33 C  | 44.42 W |  89 C  |  36 C  | 43.85 W |  89 C  |  35 C  | 46.81 W |  89 C  |  34 C  | 44.60 W |  89 C  |  34 C  | 46.07 W |  89 C  |  34 C  | 44.71 W |  89 C  
2025-08-14 16:26:11|  36 C  | 47.21 W |  89 C  |  34 C  | 43.86 W |  89 C  |  33 C  | 44.32 W |  89 C  |  36 C  | 43.85 W |  89 C  |  35 C  | 46.81 W |  89 C  |  34 C  | 44.71 W |  89 C  |  34 C  | 46.27 W |  89 C  |  34 C  | 44.80 W |  89 C  
2025-08-14 16:26:13|  36 C  | 47.21 W |  89 C  |  34 C  | 43.86 W |  89 C  |  33 C  | 44.42 W |  89 C  |  36 C  | 43.85 W |  89 C  |  35 C  | 46.71 W |  89 C  |  34 C  | 44.71 W |  89 C  |  34 C  | 46.27 W |  89 C  |  34 C  | 44.80 W |  89 C  
2025-08-14 16:26:15|  36 C  | 47.21 W |  89 C  |  34 C  | 43.96 W |  89 C  |  33 C  | 44.32 W |  89 C  |  36 C  | 43.85 W |  89 C  |  35 C  | 46.81 W |  89 C  |  34 C  | 44.60 W |  89 C  |  34 C  | 46.27 W |  89 C  |  34 C  | 44.71 W |  89 C  
2025-08-14 16:26:18|  36 C  | 47.21 W |  89 C  |  34 C  | 43.96 W |  89 C  |  33 C  | 44.23 W |  89 C  |  36 C  | 43.75 W |  89 C  |  35 C  | 46.81 W |  89 C  |  34 C  | 44.61 W |  89 C  |  34 C  | 46.27 W |  89 C  |  34 C  | 44.71 W |  89 C  
2025-08-14 16:26:20|  36 C  | 47.21 W |  89 C  |  34 C  | 43.96 W |  89 C  |  33 C  | 44.23 W |  89 C  |  36 C  | 43.85 W |  89 C  |  35 C  | 46.71 W |  89 C  |  34 C  | 44.61 W |  89 C  |  34 C  | 45.97 W |  89 C  |  34 C  | 44.80 W |  89 C  
2025-08-14 16:26:22|  36 C  | 47.22 W |  89 C  |  34 C  | 43.96 W |  89 C  |  33 C  | 44.32 W |  89 C  |  35 C  | 43.75 W |  89 C  |  35 C  | 46.71 W |  89 C  |  34 C  | 44.60 W |  89 C  |  34 C  | 46.37 W |  89 C  |  34 C  | 44.71 W |  89 C  
2025-08-14 16:26:25|  37 C  | 69.34 W |  89 C  |  34 C  | 44.16 W |  89 C  |  33 C  | 44.42 W |  89 C  |  35 C  | 43.85 W |  89 C  |  35 C  | 46.71 W |  89 C  |  34 C  | 44.61 W |  89 C  |  34 C  | 46.37 W |  89 C  |  34 C  | 44.80 W |  89 C  
2025-08-14 16:26:28|  46 C  | 286.77 W |  89 C  |  42 C  | 300.40 W |  89 C  |  42 C  | 286.57 W |  89 C  |  44 C  | 285.56 W |  89 C  |  42 C  | 278.40 W |  89 C  |  42 C  | 292.29 W |  89 C  |  43 C  | 296.41 W |  89 C  |  42 C  | 294.32 W |  89 C  
2025-08-14 16:26:30|  47 C  | 288.35 W |  89 C  |  44 C  | 300.99 W |  89 C  |  43 C  | 287.06 W |  89 C  |  46 C  | 286.56 W |  89 C  |  44 C  | 279.59 W |  89 C  |  44 C  | 296.69 W |  89 C  |  45 C  | 297.78 W |  89 C  |  44 C  | 301.76 W |  89 C  
