Timestamp          |GPU0_Temp|GPU0_TDP|GPU0_Thro|GPU1_Temp|GPU1_TDP|GPU1_Thro|GPU2_Temp|GPU2_TDP|GPU2_Thro|GPU3_Temp|GPU3_TDP|GPU3_Thro|GPU4_Temp|GPU4_TDP|GPU4_Thro|GPU5_Temp|GPU5_TDP|GPU5_Thro|GPU6_Temp|GPU6_TDP|GPU6_Thro|GPU7_Temp|GPU7_TDP|GPU7_Thro
2025-08-14 18:57:41|  40 C  | 48.68 W |  89 C  |  38 C  | 44.83 W |  89 C  |  37 C  | 45.62 W |  89 C  |  40 C  | 44.64 W |  89 C  |  39 C  | 47.90 W |  89 C  |  38 C  | 45.78 W |  89 C  |  38 C  | 47.56 W |  89 C  |  38 C  | 45.59 W |  89 C  
2025-08-14 18:57:43|  40 C  | 48.48 W |  89 C  |  37 C  | 44.75 W |  89 C  |  37 C  | 45.42 W |  89 C  |  40 C  | 44.54 W |  89 C  |  38 C  | 47.61 W |  89 C  |  37 C  | 45.58 W |  89 C  |  37 C  | 47.46 W |  89 C  |  37 C  | 45.49 W |  89 C  
2025-08-14 18:57:46|  39 C  | 48.28 W |  89 C  |  37 C  | 44.64 W |  89 C  |  36 C  | 45.42 W |  89 C  |  39 C  | 44.35 W |  89 C  |  38 C  | 47.51 W |  89 C  |  37 C  | 45.50 W |  89 C  |  37 C  | 47.17 W |  89 C  |  37 C  | 45.29 W |  89 C  
2025-08-14 18:57:48|  39 C  | 48.28 W |  89 C  |  36 C  | 44.64 W |  89 C  |  36 C  | 45.12 W |  89 C  |  39 C  | 44.34 W |  89 C  |  37 C  | 47.22 W |  89 C  |  36 C  | 45.40 W |  89 C  |  36 C  | 47.07 W |  89 C  |  37 C  | 45.20 W |  89 C  
2025-08-14 18:57:50|  45 C  | 300.39 W |  89 C  |  36 C  | 67.58 W |  89 C  |  36 C  | 65.12 W |  89 C  |  39 C  | 65.21 W |  89 C  |  37 C  | 69.28 W |  89 C  |  36 C  | 65.48 W |  89 C  |  36 C  | 67.38 W |  89 C  |  37 C  | 66.07 W |  89 C  
2025-08-14 18:57:53|  47 C  | 302.43 W |  89 C  |  43 C  | 286.20 W |  89 C  |  43 C  | 290.60 W |  89 C  |  46 C  | 288.80 W |  89 C  |  44 C  | 293.90 W |  89 C  |  43 C  | 297.69 W |  89 C  |  44 C  | 301.20 W |  89 C  |  44 C  | 301.66 W |  89 C  
2025-08-14 18:57:55|  48 C  | 282.85 W |  89 C  |  45 C  | 296.19 W |  89 C  |  45 C  | 299.58 W |  89 C  |  47 C  | 296.36 W |  89 C  |  45 C  | 302.70 W |  89 C  |  45 C  | 298.26 W |  89 C  |  45 C  | 301.99 W |  89 C  |  45 C  | 303.23 W |  89 C  
2025-08-14 18:57:58|  49 C  | 297.07 W |  89 C  |  46 C  | 290.79 W |  89 C  |  46 C  | 294.40 W |  89 C  |  48 C  | 298.89 W |  89 C  |  46 C  | 307.90 W |  89 C  |  46 C  | 290.94 W |  89 C  |  46 C  | 291.38 W |  89 C  |  46 C  | 296.08 W |  89 C  
2025-08-14 18:58:00|  50 C  | 297.05 W |  89 C  |  46 C  | 298.25 W |  89 C  |  46 C  | 294.10 W |  89 C  |  49 C  | 297.90 W |  89 C  |  47 C  | 290.27 W |  89 C  |  47 C  | 298.47 W |  89 C  |  47 C  | 296.39 W |  89 C  |  47 C  | 295.98 W |  89 C  
2025-08-14 18:58:03|  50 C  | 281.88 W |  89 C  |  47 C  | 302.84 W |  89 C  |  47 C  | 288.24 W |  89 C  |  50 C  | 297.43 W |  89 C  |  47 C  | 300.96 W |  89 C  |  47 C  | 294.65 W |  89 C  |  48 C  | 297.17 W |  89 C  |  48 C  | 304.69 W |  89 C  
